[12:30:26.229][INFO][CraftTweaker-EarlyInit]: CraftTweaker is running on a Minecraft 1.20.1 production client modded with platform Forge
[12:30:26.364][INFO][CraftTweaker-EarlyInit]: Successfully injected RecipeFS file system
[12:30:26.599][INFO][CraftTweaker-Plugins]: Successfully identified and loaded plugin crafttweaker:builtin
[12:30:26.605][INFO][CraftTweaker-Plugins]: Successfully identified and loaded plugin crafttweaker:builtin_forge
[12:30:29.293][INFO][CraftTweaker]: The following mods have explicit CraftTweaker support through the default plugin:
[12:30:29.296][INFO][CraftTweaker]: - 'crafttweaker' at version '14.0.57'
[12:30:29.297][INFO][CraftTweaker]: - 'mysticalagriculture' at version '7.0.21'
[12:30:40.417][INFO][CraftTweaker-ZenCode]: Started loading scripts for loader 'initialize'
[12:30:42.439][INFO][CraftTweaker-ZenCode]: Compiling and executing scripts
[12:30:42.664][INFO][CraftTweaker-ZenCode]: Successfully initialized modules [crafttweaker, expansions]
[12:30:43.126][INFO][CraftTweaker-ZenCode]: Execution for loader 'initialize' completed successfully
[12:31:18.869][INFO][CraftTweaker-ZenCode]: Started loading scripts for loader 'tags'
[12:31:18.887][INFO][CraftTweaker-ZenCode]: Compiling and executing scripts
[12:31:18.918][INFO][CraftTweaker-ZenCode]: Successfully initialized modules [crafttweaker, expansions]
[12:31:18.926][INFO][CraftTweaker-ZenCode]: Execution for loader 'tags' completed successfully
[12:31:19.554][INFO][CraftTweaker]: CraftTweaker reload starting!
[12:31:19.565][INFO][CraftTweaker-ZenCode]: Started loading scripts for loader 'crafttweaker'
[12:31:19.581][INFO][CraftTweaker-ZenCode]: Compiling and executing scripts
[12:31:20.250][INFO][CraftTweaker-ZenCode]: Successfully initialized modules [mods, crafttweaker, expansions]
[12:31:20.258][INFO][CraftTweaker-ZenCode]: Execution for loader 'crafttweaker' completed successfully
[12:31:20.263][INFO][CraftTweaker]: CraftTweaker reload complete!
[12:32:02.013][INFO][CraftTweaker-Commands]: Click to open [logs\crafttweaker.log]
[12:32:23.119][INFO][CraftTweaker-Commands]: Files Created. Click to open the folder!
[12:32:51.224][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:allay>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:area_effect_cloud>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:armor_stand>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:arrow>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:axolotl>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:bat>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:bee>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:blaze>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:block_display>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:boat>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:camel>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:cat>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:cave_spider>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:chest_boat>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:chest_minecart>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:chicken>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:cod>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:command_block_minecart>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:cow>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:creeper>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:dolphin>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:donkey>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:dragon_fireball>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:drowned>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:egg>
